"Model","Variable","Beta","SE","HR","Lower_95CI","Upper_95CI","P_value"
"m4_stepbic_backward","t",0.640830161905689,0.0738387314727426,1.89805591916441,1.64231840896184,2.19361620293373,4.00033986603713e-18
"m5_univariate_screen","t",0.303119478722212,0.131062858885604,1.35407623807655,1.04732678168711,1.75066893216457,0.0207347715381559
"m5_univariate_screen","stage_diagBR1",0.176093167108012,0.204715039343349,1.19254915983149,0.798403686130475,1.78127120818724,0.389686099980588
"m5_univariate_screen","stage_diagBR2",0.290296779547576,0.208041894643912,1.33682417123156,0.889177997606984,2.00983253026784,0.162902321360577
"m5_univariate_screen","count",0.0294859523988052,0.0207863668263629,1.02992496739507,0.988808517884616,1.0727511133632,0.156037946552588
"m5_univariate_screen","macroVITRUE",0.405027822274072,0.22399840841187,1.49934421464213,0.966570546951697,2.32578271815806,0.0705796154625374
"m5_univariate_screen","max_diam_cm",-0.0412607605694077,0.0505980267137769,0.95957887698681,0.868983561368984,1.05961914827096,0.414807992243858
"m5_univariate_screen","max_diam_cm_log1p",0.481067420624171,0.410838397490109,1.61780035433457,0.723133778148357,3.61935518098298,0.24162259453724
"m5_univariate_screen","ALBIscore",0.00606557340483344,0.584663649941693,1.00608400624493,0.319865679282681,3.16446900427639,0.991722521898653
"m5_univariate_screen","alb",-0.34086112630725,0.4695521208678,0.711157662439779,0.283323373234851,1.78504588263387,0.467882787262982
"m5_univariate_screen","afp_log1p",0.00308046838879672,0.0265965357953986,1.00308521790721,0.952135631873168,1.05676115954662,0.907793482668327
"m5_univariate_screen","pivka2_log1p",-0.0306037185283239,0.032301440929221,0.969859834415674,0.910361614896391,1.03324666047113,0.343413964806142
"m5_univariate_screen","afp_l3_log1p",0.0525857517770353,0.0497470561188332,1.05399293997103,0.956077132596798,1.16193670953249,0.290483025079743
"m5_univariate_screen","ast_log1p",0.121735951364927,0.128762725216951,1.12945583113249,0.877538585427658,1.45369160474863,0.344440152986299
"m5_univariate_screen","ALBIgrade2",-0.0362828480274985,0.220659436609607,0.96436748546229,0.625773123165641,1.48616904847588,0.869393301694895
"m5_univariate_screen","ALBIgrade3",NA,0,NA,NA,NA,NA
"m5_univariate_screen","che",0.000461813061160763,0.00096810643781586,1.00046191971323,0.998565389348955,1.00236205207239,0.633342784029864
"m5_univariate_screen","microVITRUE",0.265254813132685,0.196315853003416,1.30376314942785,0.887348755628523,1.9155921941898,0.176643067036652
"m5_univariate_screen","liver_damageB",0.361693973323699,0.1781549998325,1.43575949401646,1.01259525034258,2.03576436286957,0.0423341078710664
"m5_univariate_screen","liver_damageC",NA,0,NA,NA,NA,NA
"m5_univariate_screen","sm1",0.437460555010917,0.253920245634312,1.54876920624481,0.94156303507093,2.5475575876144,0.0849198858557788
"m5_univariate_screen","hh15",0.374203589966369,0.94732913157993,1.45383310616221,0.227063085723192,9.30856151206346,0.69283620150542
"m5_univariate_screen","BMI",-0.0149928800776135,0.0264591447778094,0.985118953548584,0.935333759923989,1.03755407344596,0.570956987861977
"m6_rfe","age",-0.00541535913421887,0.00687279926520437,0.994599277490279,0.981291421123026,1.00808760933839,0.430731318967133
"m6_rfe","sexM",0.0519951790902706,0.175227673763284,1.05337066429624,0.747183293905852,1.48503020001905,0.76667321144135
"m6_rfe","alb",5.80190024213683,3.14733052525934,330.927805771748,0.692979934459711,158032.299619594,0.0652654777194183
"m6_rfe","che",0.000306920892392004,0.00101017602853519,1.00030696799743,0.998328410922318,1.00228944631534,0.761258081336186
"m6_rfe","hbv",NA,0,NA,NA,NA,NA
"m6_rfe","hh15",-0.33294981741302,1.00222272102392,0.716806164440845,0.100532898669238,5.11087498900116,0.739729633066109
"m6_rfe","child_pughB",-0.689894561333514,0.418017555219702,0.501628957366106,0.221088122086185,1.13815074502336,0.0988619392345391
"m6_rfe","child_pughC",NA,0,NA,NA,NA,NA
"m6_rfe","liver_damageB",0.315416129362989,0.188776892222775,1.3708296347472,0.946882963041415,1.98458939578466,0.094753131748938
"m6_rfe","liver_damageC",NA,0,NA,NA,NA,NA
"m6_rfe","max_diam_cm",-0.0106625849750283,0.0543699862700073,0.989394058882075,0.889384347588344,1.10064968694978,0.84452281741992
"m6_rfe","count",0.0259329753343139,0.0222549642718482,1.02627216061976,0.982469525408465,1.07202770205545,0.243910934695645
"m6_rfe","stage_diagBR1",0.0720805130761265,0.216885551908085,1.07474187135458,0.702572024233167,1.64405932801476,0.739629862888434
"m6_rfe","stage_diagBR2",0.425131717107874,0.213894672664022,1.52979190615901,1.00592333618829,2.32648273676349,0.0468587067371294
"m6_rfe","ALBIscore",7.49235998227852,3.74458299964821,1794.28157184396,1.16545569593697,2762392.74498594,0.0454082380547231
"m6_rfe","ALBIgrade2",-0.112560390276671,0.223458113937791,0.893543384146927,0.576643966347824,1.38459747426048,0.614457934546916
"m6_rfe","ALBIgrade3",NA,0,NA,NA,NA,NA
"m6_rfe","BMI",-0.0135772869888702,0.0272325737741946,0.986514468638536,0.935239950756508,1.04060011128262,0.618083827075678
"m6_rfe","microVITRUE",0.340160214366694,0.204700918943911,1.40517270138457,0.940779761231493,2.09880186849655,0.0965644180929501
"m6_rfe","macroVITRUE",0.549410396067765,0.242491798350405,1.7322313862811,1.07695240473877,2.78621930032757,0.0234705841335987
"m6_rfe","afp_log1p",0.0277233446496525,0.0282485411838238,1.0281112126052,0.972735786700129,1.08663902360403,0.326391576649586
"m6_rfe","afp_l3_log1p",0.0369551595361969,0.0509378316479162,1.03764649124503,0.939055068170674,1.1465890311317,0.468148202117088
"m6_rfe","pivka2_log1p",-0.018454687468512,0.0330725872812998,0.981714557555767,0.920097379355042,1.04745812143545,0.576840589941772
"m6_rfe","ca19_9_log1p",0.066727312127703,0.0588693728205027,1.06900393401788,0.952510128546743,1.19974515409012,0.257012340250709
"m6_rfe","ast_log1p",-0.139313446462709,0.223455276882926,0.869955301305894,0.561424631261156,1.34803887134439,0.532988102582567
"m6_rfe","alt_log1p",0.166166450157026,0.1757497917954,1.18076962465662,0.836694045752912,1.6663401796497,0.344418124599013
"m6_rfe","tbil_log1p",-4.7962863079444,2.41323011179995,0.00826036661588582,0.0000729212538464039,0.935716996481761,0.0468674076452195
"m6_rfe","plt_log1p",-0.357956162454869,0.186749825790262,0.699103721325726,0.484819270748673,1.00809939426859,0.0552673627409071
"m6_rfe","icg_r15_log1p",0.294907827733856,0.157857964967581,1.34300256539132,0.985616349196937,1.82997765014476,0.0617363369981279
"m6_rfe","lhl15_log1p",0.88919221413051,0.578811654321243,2.43316338223628,0.782502796970381,7.56583116070268,0.124480122693005
"m6_rfe","max_diam_cm_log1p",0.304764261700454,0.422507400988767,1.35630523222748,0.592541108207214,3.10453377409276,0.470710873702465
"m6_rfe","fc1",-0.0789878311926362,0.178618378951258,0.92405116897734,0.651112122178892,1.31140326497222,0.658333208295064
"m6_rfe","fc_inf1",0.340716405244362,0.168754294602567,1.40595446300681,1.0100138721763,1.95710970562168,0.0434863052373448
"m6_rfe","sf1",0.0672446495289567,0.170030849102764,1.06955711281274,0.766431699995945,1.49256928905,0.692484993144138
"m6_rfe","sm1",0.51570631702636,0.265256792881921,1.67482103874115,0.995821311440683,2.81679602513413,0.0518740370866128
"m6_rfe","t",0.352848708111418,0.138443777494381,1.42311582126549,1.08491743827214,1.86673987281614,0.0108131869138008
"m6_rfe","n",0.336500420764196,0.415674953142637,1.40003945835622,0.619893545389024,3.16201144460101,0.418211632062186
"m6_rfe","m",-1.00749016738455,0.38277367992798,0.365134256360924,0.172438816174141,0.773161334125642,0.00848643865247427
"m6_rfe","fibrosis_score",-0.080188698838866,0.0636869338063581,0.922942171837719,0.814636892751956,1.04564654527117,0.207991489770281
"m8_predefined","stage_diagBR1",0.264816188003391,0.187235941199001,1.30319141154633,0.90288551788058,1.88097806587341,0.157260676212199
"m8_predefined","stage_diagBR2",0.472138613811342,0.18434716236759,1.60341962442873,1.11719917308219,2.30124990596822,0.01043297568906
"m8_predefined","t",0.483019741733983,0.0965111461291827,1.62096190529493,1.34159790668604,1.9584985078784,0.000000559177811873335
"m8_predefined","ALBIscore",0.557852758431264,0.154711833818032,1.746917416509,1.28997538418679,2.36571991800162,0.000311248310891758
